,country,SubRegion,Territory,SI mean (21/01 - 29/11),SI Min value (21/01 – 29/11),SI Max value (21/01 - 29/11),Stringency_Mean_Min,Stringency_Max_Mean,Strigency_Index_First_case_day,Strigency_Index_Peak,pop_thousands,max_monthly_cases,max_weekly_cases,weeks_above_50,day_first_case,day_10th_case,day_50th_case,cases,deaths,cases_per_million,deaths_per_million,cases_per_million_population_in_neighbors,start_delay,day_10_delay,day_50_delay,Tourism_Arrivals,Tourism_Arrivals_standardised_by_population,Tourism_receipts,Tourism_receipts_standardised_by_population,GDP_per_capita,Capture_Fisheries,Capture_fisheries_standardised_by_population,Land_border_km,sea_border_km,total_border_km,agriculture_fishing_forestry,agriculture_fishing_forestry_standardised_by_population,Prepardness_Index_Total,Prepardness_Index_Total_Average,latitude,Urban_population_percentage,population_age_between_0_14_years_percentage,population age between 15-24 years (percentage),population age between 25-54 years (percentage),population age between 55-64 years (percentage),population age between 65 and over (percentage),male_pop_frac,fem_pop_frac,Pop_Density_per_sq_km
1,Algeria,Northern Africa,Sea border,63.13371795,0,92.13,63.13371795,28.99628205,0,72.22,43053.05,16019,7183,8,2020-02-25,2020-03-04,2020-03-16,81212,2393,1886.323965,55.58258939,5475.808435,0,0,1,2371,0.05507159191,140,0.003251802137,3974,115255,2.677046109,6734,998,7732,21181.74,0.49,676,75.11,28.033886,73,29.58,13.93,42.91,7.41,6.17,51.338,48.662,18
2,Angola,Southern Africa,Sea border,61.53987179,0,90.74,61.53987179,29.20012821,11.11,65.74,31825.29,5633,1759,7,2020-03-29,2020-04-03,2020-05-18,15103,346,474.5596976,10.87185694,327.9406348,33,30,64,218,0.006849898304,395,0.01241151298,2790.7,442255,13.89633842,5369,1600,6969,5915.23,0.19,600,66.67,-11.202692,66,47.83,18.64,27.8,3.43,2.3,49.473,50.527,25
3,Benin,Western Africa,Sea border,40.51301282,0,70.83,40.51301282,30.31698718,16.67,41.67,11801.15,895,380,3,2020-03-16,2020-04-01,2020-04-17,2974,43,252.0093381,3.643712689,295.7518237,20,28,33,337,0.02855653898,175,0.01482906327,1219.4,54959,4.657088504,2123,121,2244,3867.62,0.33,357,39.67,9.30769,48,45.56,20.36,28.54,3.15,2.39,49.921,50.079,102
4,Botswana,Southern Africa,Inland,53.93125,5.56,86.11,48.37125,32.17875,61.11,63.89,2303.7,3470,1867,3,2020-03-30,2020-04-09,2020-06-12,9992,31,4337.370317,13.45661327,10896.32852,34,36,89,1830,0.7943742675,572.1,0.2483396276,7961.3,1638,0.711030082,4347,0,4347,357.51,0.16,274,30.44,-22.328474,70,30.54,18.31,39.67,5.92,5.56,48.362,51.638,4
5,Burkina Faso,Western Africa,Inland,40.87714744,0,89.81,40.87714744,48.93285256,0,36.11,20321.38,721,254,6,2020-03-09,2020-03-15,2020-03-20,2856,68,140.5416364,3.346229439,714.3909482,13,11,5,143,0.007036923673,179,0.008808456906,786.9,27299,1.343363492,3611,0,3611,3225.93,0.16,453,50.33333333,12.238333,30,43.58,20.33,29.36,3.57,3.16,49.936,50.064,72
6,Burundi,Central Africa,Inland,12.37480769,0,14.81,12.37480769,2.435192308,13.89,13.89,11530.58,171,74,4,2020-03-31,2020-04-19,2020-05-30,680,1,58.97361624,0.08672590624,121.5197425,35,46,76,299,0.02593104597,3.7,0.0003208858531,261.2,20310,1.761403156,1140,0,1140,870.49,0.08,423,47,-3.373056,13,43.83,19.76,29.18,4.17,3.06,49.598,50.402,435
7,Cabo Verde,Western Africa,Island,61.42548077,0,87.96,61.42548077,26.53451923,33.33,67.13,549.93,2488,712,12,2020-03-19,2020-04-12,2020-04-15,10526,104,19140.6179,189.1149783,0,23,39,31,758,1.378357245,567,1.031040314,3603.8,26586,48.34433473,0,965,965,95.07,0.17,440,48.89,16.002082,66,31.2,21.8,37.3,4.5,5.2,50.194,49.806,135
8,Cameroon,Central Africa,Sea border,47.00769231,0,71.3,47.00769231,24.29230769,0,60.19,25876.38,6334,2156,6,2020-03-06,2020-03-17,2020-03-23,24445,437,944.6839164,16.8879882,408.2367318,10,13,8,997,0.03852934607,681,0.02631743698,1507.5,281945,10.89584401,5018,402,5420,5659.06,0.22,360,40,7.369722,57,42.34,20.04,30.64,3.87,3.11,50.007,49.993,53
9,Central African Republic,Central Africa,Inland,44.42974359,0,75.93,44.42974359,31.50025641,11.11,75.93,4745.19,2032,742,6,2020-03-14,2020-04-07,2020-04-27,4913,63,1035.364232,13.2766022,348.7364071,18,34,43,109,0.02297062921,15.6,0.003287539593,467.9,29000,6.111451807,5820,0,5820,719.94,0.15,160,17.77777778,6.611111,42,39.49,19.89,32.95,4.32,3.35,49.566,50.434,7
10,Chad,Central Africa,Inland,57.31099359,0,88.89,57.31099359,31.57900641,27.78,88.89,15946.88,486,205,4,2020-03-19,2020-04-06,2020-04-27,1682,101,105.4751776,6.333527311,697.3936257,23,33,43,87,0.005455612634,25,0.00156770478,709.5,107000,6.709776458,6406,0,6406,4819.54,0.3,294,32.66666667,15.454166,23,47.43,19.77,27.14,3.24,2.43,49.919,50.081,12
